video_id,title,views,tags,channel_name,subscribers,search_query,thumbnail_url,duration_seconds,thumbnail_path,search_volume
FXkYUGhfu2Q,[FREE FOR PROFIT] Playboi Carti x Yeat Type Beat - Fool,1471189,cochise untagged type beat|cochise x snot type beat|playboi carti type beat|playboi carti type beat free|playboi carti type beat free for profit|playboi carti untagged|playboi carti untagged type beat|tell em|whats up|free beat for profit|free for frofit yeat type beat|free for profit cochise type beat|free for profit playboi carti type beat|free for profit beat|free for profit type beat|sorry bout that|tell em type beat|untagged|yeat type beat,YUREI,15800,hyperpop type beat,https://i.ytimg.com/vi/FXkYUGhfu2Q/maxresdefault.jpg,124,thumbnails\FXkYUGhfu2Q.jpg,0.0
vHKeSABLdOg,(FREE FOR PROFIT) Melodic Type Beat ~ Hyperpop Vibes,935746,free for profit melodic type beat|melodic type beat|melodic type beat free for profit|free for profit type beat|free for profit beats|free for profit|free melodic type beat|melodic type beat free|free melodic beat|melodic beat free|melodic trap type beat|melodic trap beat|melodic beat|melodic beats|type beat melodic|type beat|melodic,Zyeq,25900,hyperpop type beat,https://i.ytimg.com/vi/vHKeSABLdOg/maxresdefault.jpg,235,thumbnails\vHKeSABLdOg.jpg,0.0
HAdYssDdKb4,"*FREE* hyperpop x miss the rage type beat - ""2 da moon"" (prod.@sheepy_kid @goddamnbeats )",834601,glitchcore type beat|hyperpop type beat|free hyperpop type beat|hyperpop type beat 2022|hyperpop type beat free|free glitchcore type beat|hyper pop type beat|glaive type beat|brakence type beat|ericdoa type beat|100 gecs type beat|midwxst type beat|hyperpop beat|bladee type beat|free 100 gecs type beat|hyperpop edm type beat|free type beat|hyperpop dance type beat|100 gecs type beat free|miss the rage|miss the rage type beat|rage type beat,sheepy,38400,hyperpop type beat,https://i.ytimg.com/vi/HAdYssDdKb4/hqdefault.jpg,159,thumbnails\HAdYssDdKb4.jpg,0.0
dk5e1L4I31s,"*FREE* hyperpop x glitchcore x d0llywood1 type beat - ""2D game"" (prod.@sheepy_kid)",672894,glitchcore type beat|hyperpop type beat|free hyperpop type beat|hyperpop type beat 2021|hyperpop type beat free|free glitchcore type beat|hyper pop type beat|glaive type beat|brakence type beat|ericdoa type beat|100 gecs type beat|osquinn type beat|midwxst type beat|hyperpop beat|bladee type beat|charli xcx type beat|free 100 gecs type beat|hyperpop edm type beat|free type beat|hyperpop dance type beat|p4rkr type beat|100 gecs type beat free,sheepy,38400,hyperpop type beat,https://i.ytimg.com/vi/dk5e1L4I31s/hqdefault.jpg,157,thumbnails\dk5e1L4I31s.jpg,0.0
jXmLHvL89T8,"[FREE FOR PROFIT] HYPERPOP TYPE BEAT - ""VIRGQ"" (prod.reezgy)",449155,aggressive hyperpop type beat|emo hyperpop type beat free for profit|glitchcore type beat|hard hyperpop type beat free for profit|hyperpop drain type beat free for profit|hyperpop type beat|hyperpop type beat 2022|hyperpop type beat anime|hyperpop type beat free|hyperpop type beat free for profit|hyperpop type beat free for profit 100 gecs|hyperpop type beat free for profit with hook|hyperpop type beat glaive|hyperpop type beat with hook|free hyperpop type beat,rené ,6900,hyperpop type beat,https://i.ytimg.com/vi/jXmLHvL89T8/maxresdefault.jpg,70,thumbnails\jXmLHvL89T8.jpg,0.0
cJQpSYnicgs,"*FREE* hyperpop x glitchcore x dnb type beat - ""emotions+""(prod.@sheepy_kid)",343598,glitchcore type beat|hyperpop type beat|free hyperpop type beat|hyperpop type beat 2021|hyperpop type beat free|free glitchcore type beat|hyper pop type beat|glaive type beat|brakence type beat|ericdoa type beat|100 gecs type beat|osquinn type beat|midwxst type beat|hyperpop beat|bladee type beat|charli xcx type beat|free 100 gecs type beat|hyperpop edm type beat|free type beat|hyperpop dance type beat|p4rkr type beat|100 gecs type beat free,sheepy,38400,hyperpop type beat,https://i.ytimg.com/vi/cJQpSYnicgs/hqdefault.jpg,155,thumbnails\cJQpSYnicgs.jpg,0.0
PSem4PA3SKk,"[FREE FOR PROFIT] midwxst x glaive x hyperpop type beat ""My Girl""",299521,glaive type beat|hyperpop type beat|midwxst type beat|glaive type beat 2022|free glaive type beat|free hyperpop type beat|hyperpop type beat free|hyperpop type beat 2022|midwxst type beat 2022|free for profit midwxst type beat|free midwxst type beat|midwxst type beat free for profit|glaive type beat free for profit|yameii type beat|deko type beat free|hyperpop type beat free for profit|midwxst type beat 2023|glaive type beat 2023|hyperpop type beat 2023,OhMyGon!,21900,hyperpop type beat,https://i.ytimg.com/vi/PSem4PA3SKk/maxresdefault.jpg,146,thumbnails\PSem4PA3SKk.jpg,0.0
Io4aouqeD7Q,"2010 pop x hyperpop type beat ""project x""",294499,hyperpop type beat|hyperpop type beat free|free hyperpop type beat|hyperpop type beat 2023|bladee type beat|hyperpop type beat free for profit|drain gang type beat|rage hyperpop type beat|100 gecs type beat|hyperpop type beat guitar|brakence type beat|midwxst type beat|ericdoa type beat|ericdoa type beat pop|2010 pop type beat|2010 electro pop type beat|pop type beat|pop type beat 2010|silento type beat|2010 type beat pop|2010 type beat|kesha type beat,Geam,59400,hyperpop type beat,https://i.ytimg.com/vi/Io4aouqeD7Q/maxresdefault.jpg,164,thumbnails\Io4aouqeD7Q.jpg,0.0
PK_dj0l_1Ys,"[FREE] Pop Punk Rock x Hyperpop Type Beat - ""Sebring"" (prod. by Klimlords x Yago)",265229,,Klimlords Beats,33900,hyperpop type beat,https://i.ytimg.com/vi/PK_dj0l_1Ys/maxresdefault.jpg,146,thumbnails\PK_dj0l_1Ys.jpg,0.0
8p11xqC8WJ0,"[FREE FOR PROFIT] Hyperpop x Pop Type Beat - ""twin""",259480,glaive type beat|glaive type beat 2023|glaive ericdoa type beat|ericdoa type beat|brakence type beat|midwxst type beat|aldn type beat|hyperpop guitar type beat|hyperpop type beat|hyperpop beat|hyper pop type beat|free glaive type beat|hyperpop type beat free for profit|hyperpop type beat 2023|aries type beat|glitchcore type beat|glaive type beat hyperpop|pop type beat 2023|indie pop type beat|pop type beat|bedroom pop type beat|beat|anti pop type beat,siem spark,28200,hyperpop type beat,https://i.ytimg.com/vi/8p11xqC8WJ0/maxresdefault.jpg,136,thumbnails\8p11xqC8WJ0.jpg,0.0
